fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-12-02T12:53:15,2025-12-02 12:53:15,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.219,5.0,0.0,0.0,308.0,1.0,25.4,23.0,71.0,99.0,91.0,29.47,17.79,11.0,0.0,0.0,0.0,0.0,"30668649, 30668650, 30668651, 30668652, 30668653, 30668654, 30668655, 30668656, 30668657, 30668658, 30668659, 30668660, 30668661, 30668662, 30668663, 30668664, 30668665, 30668666, 30668667"
2025-12-02T12:53:12,2025-12-02 12:53:12,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.219,5.0,0.0,0.0,307.0,1.0,25.4,23.1,71.0,96.0,85.0,29.5,17.62,11.0,0.0,0.0,0.0,0.0,"30668630, 30668631, 30668632, 30668633, 30668634, 30668635, 30668636, 30668637, 30668638, 30668639, 30668640, 30668641, 30668642, 30668643, 30668644, 30668645, 30668646, 30668647, 30668648"
2025-12-02T12:53:09,2025-12-02 12:53:09,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.219,5.0,0.0,0.0,306.0,1.0,25.4,23.0,65.0,94.0,83.0,29.46,17.49,11.0,0.0,0.0,0.0,0.0,"30668611, 30668612, 30668613, 30668614, 30668615, 30668616, 30668617, 30668618, 30668619, 30668620, 30668621, 30668622, 30668623, 30668624, 30668625, 30668626, 30668627, 30668628, 30668629"
2025-12-02T12:53:06,2025-12-02 12:53:06,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.219,5.0,0.0,0.0,305.0,1.0,25.4,23.1,51.0,85.0,70.0,29.47,17.67,11.0,0.0,0.0,0.0,0.0,"30668592, 30668593, 30668594, 30668595, 30668596, 30668597, 30668598, 30668599, 30668600, 30668601, 30668602, 30668603, 30668604, 30668605, 30668606, 30668607, 30668608, 30668609, 30668610"
2025-12-02T12:53:03,2025-12-02 12:53:03,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.26,5.0,0.0,0.0,304.0,1.0,25.4,23.1,43.0,82.0,68.0,29.47,17.75,11.0,0.0,0.0,0.0,0.0,"30668573, 30668574, 30668575, 30668576, 30668577, 30668578, 30668579, 30668580, 30668581, 30668582, 30668583, 30668584, 30668585, 30668586, 30668587, 30668588, 30668589, 30668590, 30668591"
2025-12-02T12:53:00,2025-12-02 12:53:00,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.26,5.0,0.0,0.0,303.0,1.0,25.4,23.2,41.0,80.0,66.0,29.46,17.73,11.0,0.0,0.0,0.0,0.0,"30668554, 30668555, 30668556, 30668557, 30668558, 30668559, 30668560, 30668561, 30668562, 30668563, 30668564, 30668565, 30668566, 30668567, 30668568, 30668569, 30668570, 30668571, 30668572"
2025-12-02T12:52:57,2025-12-02 12:52:57,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.26,5.0,0.0,0.0,302.0,1.0,25.3,23.2,43.0,78.0,64.0,29.46,17.87,11.0,0.0,0.0,0.0,0.0,"30668535, 30668536, 30668537, 30668538, 30668539, 30668540, 30668541, 30668542, 30668543, 30668544, 30668545, 30668546, 30668547, 30668548, 30668549, 30668550, 30668551, 30668552, 30668553"
2025-12-02T12:52:54,2025-12-02 12:52:54,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.269,5.0,0.0,0.0,301.0,1.0,25.3,23.2,42.0,77.0,64.0,29.46,17.94,11.0,0.0,0.0,0.0,0.0,"30668516, 30668517, 30668518, 30668519, 30668520, 30668521, 30668522, 30668523, 30668524, 30668525, 30668526, 30668527, 30668528, 30668529, 30668530, 30668531, 30668532, 30668533, 30668534"
2025-12-02T12:52:51,2025-12-02 12:52:51,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.269,5.0,0.0,0.0,300.0,1.0,25.3,23.3,41.0,74.0,62.0,29.44,17.99,11.0,0.0,0.0,0.0,0.0,"30668497, 30668498, 30668499, 30668500, 30668501, 30668502, 30668503, 30668504, 30668505, 30668506, 30668507, 30668508, 30668509, 30668510, 30668511, 30668512, 30668513, 30668514, 30668515"
2025-12-02T12:52:48,2025-12-02 12:52:48,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.269,5.0,0.0,0.0,299.0,1.0,25.4,23.3,31.0,406.0,404.0,29.43,18.42,11.0,0.0,0.0,0.0,0.0,"30668478, 30668479, 30668480, 30668481, 30668482, 30668483, 30668484, 30668485, 30668486, 30668487, 30668488, 30668489, 30668490, 30668491, 30668492, 30668493, 30668494, 30668495, 30668496"
2025-12-02T12:52:45,2025-12-02 12:52:45,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.29,5.0,0.0,0.0,298.0,1.0,25.3,23.3,30.0,400.0,397.0,29.43,18.46,11.0,0.0,0.0,0.0,0.0,"30668459, 30668460, 30668461, 30668462, 30668463, 30668464, 30668465, 30668466, 30668467, 30668468, 30668469, 30668470, 30668471, 30668472, 30668473, 30668474, 30668475, 30668476, 30668477"
2025-12-02T12:52:42,2025-12-02 12:52:42,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.29,5.0,0.0,0.0,297.0,1.0,25.3,23.4,39.0,179.0,179.0,29.41,18.59,11.0,0.0,0.0,0.0,0.0,"30668440, 30668441, 30668442, 30668443, 30668444, 30668445, 30668446, 30668447, 30668448, 30668449, 30668450, 30668451, 30668452, 30668453, 30668454, 30668455, 30668456, 30668457, 30668458"
