fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SDS198 [Material particulado PM 100 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-24T11:28:11,2025-11-24 11:28:11,Sin sesión,,,,18,HIRIPRO-06,,"23.25, 23.25","0.0, 0.0","6.0, 6.0","-33.391315, -33.391315","-70.5, -70.5","53456.0, 53456.0","1.0, 1.0","0.0, 0.0","0.0, 0.0","19.0, 16.0","25.0, 24.0","25.0, 24.0","33.0, 33.0","18.0, 18.0","-33.391315, -33.391315","-70.5, -70.5","0.0, 0.0","0.0, 0.0","30144012, 30144013, 30144014, 30144015, 30144016, 30144030, 30144031, 30144032, 30144033, 30144034, 30144017, 30144018, 30144019, 30144020, 30144021, 30144035, 30144036, 30144037, 30144038, 30144039, 30144022, 30144040, 30144023, 30144041, 30144024, 30144025, 30144026, 30144027, 30144028, 30144042, 30144043, 30144044, 30144045, 30144046, 30144029, 30144047"
2025-11-24T11:27:29,2025-11-24 11:27:29,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,25.0,25.0,32.0,18.0,-33.391315,-70.5,0.0,0.0,"30143994, 30143995, 30143996, 30143997, 30143998, 30143999, 30144000, 30144001, 30144002, 30144003, 30144004, 30144005, 30144006, 30144007, 30144008, 30144009, 30144010, 30144011"
2025-11-24T11:27:07,2025-11-24 11:27:07,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,27.0,27.0,35.0,18.0,-33.391315,-70.5,0.0,0.0,"30143944, 30143945, 30143946, 30143947, 30143948, 30143949, 30143950, 30143951, 30143952, 30143953, 30143954, 30143955, 30143956, 30143957, 30143958, 30143959, 30143960, 30143961"
2025-11-24T11:26:49,2025-11-24 11:26:49,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,25.0,25.0,33.0,18.0,-33.391315,-70.5,0.0,0.0,"30143926, 30143927, 30143928, 30143929, 30143930, 30143931, 30143932, 30143933, 30143934, 30143935, 30143936, 30143937, 30143938, 30143939, 30143940, 30143941, 30143942, 30143943"
2025-11-24T11:26:23,2025-11-24 11:26:23,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,25.0,25.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30143908, 30143909, 30143910, 30143911, 30143912, 30143913, 30143914, 30143915, 30143916, 30143917, 30143918, 30143919, 30143920, 30143921, 30143922, 30143923, 30143924, 30143925"
2025-11-24T11:26:07,2025-11-24 11:26:07,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,26.0,26.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30143890, 30143891, 30143892, 30143893, 30143894, 30143895, 30143896, 30143897, 30143898, 30143899, 30143900, 30143901, 30143902, 30143903, 30143904, 30143905, 30143906, 30143907"
2025-11-24T11:26:01,2025-11-24 11:26:01,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,19.0,28.0,28.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30143872, 30143873, 30143874, 30143875, 30143876, 30143877, 30143878, 30143879, 30143880, 30143881, 30143882, 30143883, 30143884, 30143885, 30143886, 30143887, 30143888, 30143889"
2025-11-24T11:25:57,2025-11-24 11:25:57,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,28.0,28.0,29.0,18.0,-33.391315,-70.5,0.0,0.0,"30143854, 30143855, 30143856, 30143857, 30143858, 30143859, 30143860, 30143861, 30143862, 30143863, 30143864, 30143865, 30143866, 30143867, 30143868, 30143869, 30143870, 30143871"
2025-11-24T11:25:34,2025-11-24 11:25:34,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,28.0,27.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30143836, 30143837, 30143838, 30143839, 30143840, 30143841, 30143842, 30143843, 30143844, 30143845, 30143846, 30143847, 30143848, 30143849, 30143850, 30143851, 30143852, 30143853"
2025-11-24T11:24:50,2025-11-24 11:24:50,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,22.0,33.0,31.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30143810, 30143811, 30143812, 30143813, 30143814, 30143815, 30143816, 30143817, 30143818, 30143819, 30143820, 30143821, 30143822, 30143823, 30143824, 30143825, 30143826, 30143827"
2025-11-24T11:24:07,2025-11-24 11:24:07,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,45.0,80.0,78.0,33.0,18.0,-33.391315,-70.5,0.0,0.0,"30143728, 30143729, 30143730, 30143731, 30143732, 30143733, 30143734, 30143735, 30143736, 30143737, 30143738, 30143739, 30143740, 30143741, 30143742, 30143743, 30143744, 30143745"
2025-11-24T11:23:56,2025-11-24 11:23:56,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,44.0,83.0,81.0,36.0,18.0,-33.391315,-70.5,0.0,0.0,"30143710, 30143711, 30143712, 30143713, 30143714, 30143715, 30143716, 30143717, 30143718, 30143719, 30143720, 30143721, 30143722, 30143723, 30143724, 30143725, 30143726, 30143727"
2025-11-24T11:23:36,2025-11-24 11:23:36,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,33.0,67.0,57.0,36.0,18.0,-33.391315,-70.5,0.0,0.0,"30143692, 30143693, 30143694, 30143695, 30143696, 30143697, 30143698, 30143699, 30143700, 30143701, 30143702, 30143703, 30143704, 30143705, 30143706, 30143707, 30143708, 30143709"
2025-11-24T11:23:21,2025-11-24 11:23:21,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,31.0,63.0,51.0,34.0,18.0,-33.391315,-70.5,0.0,0.0,"30143674, 30143675, 30143676, 30143677, 30143678, 30143679, 30143680, 30143681, 30143682, 30143683, 30143684, 30143685, 30143686, 30143687, 30143688, 30143689, 30143690, 30143691"
2025-11-24T11:22:23,2025-11-24 11:22:23,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,27.0,50.0,42.0,33.0,18.0,-33.391315,-70.5,0.0,0.0,"30143624, 30143625, 30143626, 30143627, 30143628, 30143629, 30143630, 30143631, 30143632, 30143633, 30143634, 30143635, 30143636, 30143637, 30143638, 30143639, 30143640, 30143641"
2025-11-24T11:22:10,2025-11-24 11:22:10,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,23.0,43.0,37.0,34.0,18.0,-33.391315,-70.5,0.0,0.0,"30143606, 30143607, 30143608, 30143609, 30143610, 30143611, 30143612, 30143613, 30143614, 30143615, 30143616, 30143617, 30143618, 30143619, 30143620, 30143621, 30143622, 30143623"
